Municipios;Sexo;Periodo;Total
25093 Fondarella;Total;2021;781
25093 Fondarella;Total;2020;776
25093 Fondarella;Total;2019;784
25093 Fondarella;Total;2018;792
25093 Fondarella;Total;2017;796
25093 Fondarella;Total;2016;794
25093 Fondarella;Total;2015;831
25094 Foradada;Total;2022;191
25094 Foradada;Total;2021;195
25094 Foradada;Total;2020;203
25094 Foradada;Total;2019;186
25094 Foradada;Total;2018;173
25094 Foradada;Total;2017;170
25094 Foradada;Total;2016;172
25094 Foradada;Total;2015;174
25096 Fuliola, La;Total;2022;1.238
25096 Fuliola, La;Total;2021;1.247
25096 Fuliola, La;Total;2020;1.250
25096 Fuliola, La;Total;2019;1.248
25096 Fuliola, La;Total;2018;1.217
25096 Fuliola, La;Total;2017;1.237
25096 Fuliola, La;Total;2016;1.260
25096 Fuliola, La;Total;2015;1.291
25097 Fulleda;Total;2022;98
25097 Fulleda;Total;2021;101
25097 Fulleda;Total;2020;102
25097 Fulleda;Total;2019;85
25097 Fulleda;Total;2018;84
25097 Fulleda;Total;2017;86
25097 Fulleda;Total;2016;87
25097 Fulleda;Total;2015;94
25098 Gavet de la Conca;Total;2022;261
25098 Gavet de la Conca;Total;2021;262
25098 Gavet de la Conca;Total;2020;261
25098 Gavet de la Conca;Total;2019;261
25098 Gavet de la Conca;Total;2018;274
25098 Gavet de la Conca;Total;2017;280
25098 Gavet de la Conca;Total;2016;297
25098 Gavet de la Conca;Total;2015;287
25912 Gimenells i el Pla de la Font;Total;2022;1.109
25912 Gimenells i el Pla de la Font;Total;2021;1.118
25912 Gimenells i el Pla de la Font;Total;2020;1.120
25912 Gimenells i el Pla de la Font;Total;2019;1.111
25912 Gimenells i el Pla de la Font;Total;2018;1.108
25912 Gimenells i el Pla de la Font;Total;2017;1.107
25912 Gimenells i el Pla de la Font;Total;2016;1.111
25912 Gimenells i el Pla de la Font;Total;2015;1.151
25099 Golmés;Total;2022;1.893
25099 Golmés;Total;2021;1.855
25099 Golmés;Total;2020;1.855
25099 Golmés;Total;2019;1.840
25099 Golmés;Total;2018;1.864
25099 Golmés;Total;2017;1.852
25099 Golmés;Total;2016;1.835
25099 Golmés;Total;2015;1.770
25100 Gósol;Total;2022;233
25100 Gósol;Total;2021;232
25100 Gósol;Total;2020;206
