Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
25067 Castelldans;;;Renta neta media por hogar;2015;24.580
25068 Castellnou de Seana;;;Renta neta media por hogar;2020;28.133
25068 Castellnou de Seana;;;Renta neta media por hogar;2019;28.773
25068 Castellnou de Seana;;;Renta neta media por hogar;2018;27.710
25068 Castellnou de Seana;;;Renta neta media por hogar;2017;25.012
25068 Castellnou de Seana;;;Renta neta media por hogar;2016;23.333
25068 Castellnou de Seana;;;Renta neta media por hogar;2015;25.291
25069 Castelló de Farfanya;;;Renta neta media por hogar;2020;31.379
25069 Castelló de Farfanya;;;Renta neta media por hogar;2019;30.063
25069 Castelló de Farfanya;;;Renta neta media por hogar;2018;29.321
25069 Castelló de Farfanya;;;Renta neta media por hogar;2017;28.235
25069 Castelló de Farfanya;;;Renta neta media por hogar;2016;27.617
25069 Castelló de Farfanya;;;Renta neta media por hogar;2015;25.971
25070 Castellserà;;;Renta neta media por hogar;2020;31.101
25070 Castellserà;;;Renta neta media por hogar;2019;30.269
25070 Castellserà;;;Renta neta media por hogar;2018;30.527
25070 Castellserà;;;Renta neta media por hogar;2017;29.018
25070 Castellserà;;;Renta neta media por hogar;2016;28.886
25070 Castellserà;;;Renta neta media por hogar;2015;27.183
25071 Cava;;;Renta neta media por hogar;2020;35.146
25071 Cava;;;Renta neta media por hogar;2019;.
25071 Cava;;;Renta neta media por hogar;2018;.
25071 Cava;;;Renta neta media por hogar;2017;.
25071 Cava;;;Renta neta media por hogar;2016;.
25071 Cava;;;Renta neta media por hogar;2015;.
25072 Cervera;;;Renta neta media por hogar;2020;32.781
25072 Cervera;;;Renta neta media por hogar;2019;32.020
25072 Cervera;;;Renta neta media por hogar;2018;32.064
25072 Cervera;;;Renta neta media por hogar;2017;32.526
25072 Cervera;;;Renta neta media por hogar;2016;29.789
25072 Cervera;;;Renta neta media por hogar;2015;28.470
25073 Cervià de les Garrigues;;;Renta neta media por hogar;2020;24.028
25073 Cervià de les Garrigues;;;Renta neta media por hogar;2019;22.128
25073 Cervià de les Garrigues;;;Renta neta media por hogar;2018;22.562
25073 Cervià de les Garrigues;;;Renta neta media por hogar;2017;20.783
25073 Cervià de les Garrigues;;;Renta neta media por hogar;2016;20.117
25073 Cervià de les Garrigues;;;Renta neta media por hogar;2015;19.845
25074 Ciutadilla;;;Renta neta media por hogar;2020;35.128
25074 Ciutadilla;;;Renta neta media por hogar;2019;34.566
25074 Ciutadilla;;;Renta neta media por hogar;2018;31.353
25074 Ciutadilla;;;Renta neta media por hogar;2017;31.486
25074 Ciutadilla;;;Renta neta media por hogar;2016;30.329
25074 Ciutadilla;;;Renta neta media por hogar;2015;27.890
25075 Clariana de Cardener;;;Renta neta media por hogar;2020;39.850
25075 Clariana de Cardener;;;Renta neta media por hogar;2019;38.969
25075 Clariana de Cardener;;;Renta neta media por hogar;2018;37.307
25075 Clariana de Cardener;;;Renta neta media por hogar;2017;23.904
25075 Clariana de Cardener;;;Renta neta media por hogar;2016;26.263
25075 Clariana de Cardener;;;Renta neta media por hogar;2015;25.316
25076 Cogul, El;;;Renta neta media por hogar;2020;24.555
25076 Cogul, El;;;Renta neta media por hogar;2019;24.957
25076 Cogul, El;;;Renta neta media por hogar;2018;23.730
25076 Cogul, El;;;Renta neta media por hogar;2017;21.438
25076 Cogul, El;;;Renta neta media por hogar;2016;20.482
25076 Cogul, El;;;Renta neta media por hogar;2015;23.963
25077 Coll de Nargó;;;Renta neta media por hogar;2020;30.026
25077 Coll de Nargó;;;Renta neta media por hogar;2019;30.049
25077 Coll de Nargó;;;Renta neta media por hogar;2018;29.267
25077 Coll de Nargó;;;Renta neta media por hogar;2017;26.077
25077 Coll de Nargó;;;Renta neta media por hogar;2016;25.547
25077 Coll de Nargó;;;Renta neta media por hogar;2015;24.677
25078 Corbins;;;Renta neta media por hogar;2020;35.602
25078 Corbins;;;Renta neta media por hogar;2019;36.435
25078 Corbins;;;Renta neta media por hogar;2018;34.281
25078 Corbins;;;Renta neta media por hogar;2017;31.901
25078 Corbins;;;Renta neta media por hogar;2016;30.509
25078 Corbins;;;Renta neta media por hogar;2015;29.110
25079 Cubells;;;Renta neta media por hogar;2020;31.509
25079 Cubells;;;Renta neta media por hogar;2019;31.641
25079 Cubells;;;Renta neta media por hogar;2018;29.736
25079 Cubells;;;Renta neta media por hogar;2017;25.733
25079 Cubells;;;Renta neta media por hogar;2016;24.686
25079 Cubells;;;Renta neta media por hogar;2015;23.350
25081 Espluga Calba, L';;;Renta neta media por hogar;2020;25.417
25081 Espluga Calba, L';;;Renta neta media por hogar;2019;24.612
25081 Espluga Calba, L';;;Renta neta media por hogar;2018;24.097
25081 Espluga Calba, L';;;Renta neta media por hogar;2017;22.825
25081 Espluga Calba, L';;;Renta neta media por hogar;2016;21.641
25081 Espluga Calba, L';;;Renta neta media por hogar;2015;21.753
25082 Espot;;;Renta neta media por hogar;2020;40.228
25082 Espot;;;Renta neta media por hogar;2019;41.431
25082 Espot;;;Renta neta media por hogar;2018;39.537
25082 Espot;;;Renta neta media por hogar;2017;31.393
25082 Espot;;;Renta neta media por hogar;2016;33.468
25082 Espot;;;Renta neta media por hogar;2015;32.423
25085 Estaràs;;;Renta neta media por hogar;2020;35.114
25085 Estaràs;;;Renta neta media por hogar;2019;38.592
